,Country Name,Number of Companies,Investment Amount,Conference,Journal,Patent,Repository,Number of Companies Normalized,Investment Amount Normalized,Conference Normalized,Journal Normalized,Patent Normalized,Repository Normalized,Index Equal Metric Weights,Index Equal Pillar Weights,Index Andre Prefers,Rank Equal Metric Weights,Rank Equal Pillar Weights,Rank Andre Prefers,Rank Difference Max
148,Macao,0.0,0.0,27.9500001519918,119.783334016799,0.0,9.65000006556511,0.0,0.0,0.4176082542553645,0.8640572009340762,0.0,0.15869440771697257,1.4403598629064132,1.4403598629064132,1.4403598629064132,54.0,58.0,52.0,6.0
73,Jordan,0.0,675000.0,22.083333402872,109.666666895151,0.5,9.66666668653488,0.0,0.0028605256783648756,0.32995285368022986,0.7910806124323149,0.018133462280765213,0.15896849056935294,1.3009959446410277,1.3038564703193927,1.3095775216761223,55.0,61.0,53.0,8.0
41,Nigeria,1.0,1500000.0,14.9166667163372,44.400000102818,0.0,6.97777781635522,0.5434782608695652,0.006356723729699723,0.222873814413012,0.32027944559410276,0.0,0.11474966945321732,1.207737914059597,1.757572898658862,0.6833298243791309,56.0,54.0,63.0,9.0
44,Colombia,0.0,30000000.0,15.642857208848,89.1904764845967,0.0,10.8333333730697,0.0,0.12713447459399446,0.23372401628010098,0.6433755922209436,0.0,0.17815434316674605,1.1823884262617852,1.3095229008557796,1.5637918500437686,57.0,60.0,51.0,9.0
32,Ukraine,1.0,1500000.0,16.7500000298023,19.7000000476837,0.0,3.60000000149011,0.5434782608695652,0.006356723729699723,0.25026612641089957,0.14210597024470456,0.0,0.05920205845968745,1.0014091397145566,1.5512441243138215,0.4770010500340905,58.0,55.0,69.0,14.0
51,Bulgaria,1.0,731707.0,19.2083334326744,17.1666667163372,0.0,1.75000002980232,0.5434782608695652,0.0031008395000582637,0.2869967280269395,0.1238317676998892,0.0,0.02877877889609116,0.9861863749925432,1.5327654753621667,0.4520106326231529,59.0,56.0,72.0,16.0
78,Croatia,0.0,0.0,34.0825758129358,50.2000000625848,0.0,6.58333337306976,0.0,0.0,0.509236669351214,0.3621177511629811,0.0,0.10826302418076764,0.9796174446949628,0.9796174446949628,0.9796174446949628,60.0,67.0,54.0,13.0
143,Iraq,0.0,0.0,17.3333333730697,85.2785716801882,0.0,3.58333337306976,0.0,0.0,0.25898186228947284,0.6151570629625769,0.0,0.05892797548478217,0.9330669007368319,0.9330669007368319,0.9330669007368319,61.0,68.0,55.0,13.0
60,Slovakia,1.0,5912961.0,13.7083333432674,17.5428571850061,0.0,1.53333334624767,0.5434782608695652,0.025058039667659335,0.20481978980685417,0.12654541802565605,0.0,0.025215691768102382,0.9251172001378369,1.4936535006750615,0.45681305827124996,62.0,57.0,71.0,14.0
72,Slovenia,0.0,1418104.0,16.708333402872,53.0666667893528,0.0,10.9166666865348,0.0,0.0060096635653213975,0.2496435744524577,0.38279645449239946,0.0,0.17952476085934557,0.8179744533695241,0.8239841169348454,0.8360034440654882,63.0,69.0,59.0,10.0
49,Lithuania,1.0,1744894.0,5.16666668653488,24.100000038743,0.0,0.0,0.5434782608695652,0.007394539397073779,0.07719651676386195,0.17384537462504573,0.0,0.0,0.8019146916555466,1.3527874919221856,0.28062004897720283,64.0,59.0,78.0,19.0
75,Morocco,0.0,1081748.0,33.5000000298023,39.142857208848,0.0,0.33333334326744,0.0,0.004584248787436811,0.5005322523765151,0.2823570400177383,0.0,0.005481672240698265,0.7929552134223885,0.7975394622098253,0.806707959784699,65.0,70.0,60.0,10.0
68,Sri Lanka,0.0,0.0,32.3333333432674,18.125,0.0,9.83333334326743,0.0,0.0,0.483100780619367,0.13074470580968928,0.0,0.1617093264446521,0.7755548128737084,0.7755548128737084,0.7755548128737084,66.0,71.0,61.0,10.0
50,Kenya,1.0,6000000.0,2.83333334326744,7.5,0.0,1.0,0.5434782608695652,0.025426894918798893,0.042333573694850614,0.05410125757642315,0.0,0.01644501623199516,0.6817850032916329,1.2506901590799973,0.2145874271784645,67.0,62.0,81.0,19.0
54,Belarus,1.0,1500000.0,2.5,10.5000000298023,0.0,0.0,0.5434782608695652,0.006356723729699723,0.037353153129196355,0.07574176082197133,0.0,0.0,0.6629298985504327,1.2127648831496975,0.13852180886996657,68.0,63.0,89.0,26.0
110,Qatar,0.0,0.0,12.2500000894069,32.6500002890825,1.0,11.7500000596046,0.0,0.0,0.183030451668914,0.23552081006799236,0.036266924561530425,0.19322894170614172,0.6480471280045785,0.6480471280045785,0.6480471280045785,69.0,72.0,65.0,7.0
80,Ecuador,0.0,0.0,30.1250000596046,18.4500001072883,0.0,1.5,0.0,0.0,0.450105496097384,0.1330890944119252,0.0,0.02466752434799274,0.6078621148573019,0.6078621148573019,0.6078621148573019,70.0,74.0,66.0,8.0
82,Nepal,1.0,0.0,0.5,5.95833334326744,0.0,0.0,0.5434782608695652,0.0,0.007470630625839271,0.04298044359070696,0.0,0.0,0.5939293350861115,1.1374075959556764,0.05045107421654623,71.0,64.0,102.0,38.0
76,Cameroon,1.0,0.0,0.0,6.78333334624767,0.0,0.0,0.5434782608695652,0.0,0.0,0.04893158194561141,0.0,0.0,0.5924098428151766,1.1358881036847417,0.04893158194561141,72.0,65.0,103.0,38.0
